status,time,card_type,city,amount,id
fail,2025-09-29 03:27:00,visa,tehran,250000.0,20
success,2025-09-15 13:13:00,discover,isfahan,0.0,40
fail,2025-09-26 07:32:00,visa,tehran,0.0,82
success,2025-09-19 12:12:00,visa,tehran,200000.0,48
fail,2025-09-23 19:19:00,amex,shiraz,914282.0,94
fail,2025-09-11 07:32:00,visa,tehran,774681.0,43
fail,2025-09-24 11:11:00,visa,karaj,177050.0,35
fail,2025-09-21 11:11:00,master_card,tehran,650000.0,53
success,2025-09-04 10:05:00,amex,ahvaz,12345.0,34
success,2025-09-24 03:00:00,discover,karaj,50200.0,68
fail,2025-09-22 00:00:00,discover,ahvaz,471227.0,10
fail,2025-09-02 11:11:00,visa,qom,177050.0,29
fail,2025-09-24 13:10:00,discover,tabriz,471227.0,97
success,2025-09-30 16:40:00,visa,isfahan,976246.0,66
fail,2025-09-06 01:01:00,visa,tehran,120000.0,76
success,2025-09-28 03:27:00,mastcard,shiraz,0.0,69
success,2025-09-01 14:30:00,master_card,shiraz,450000.0,27
success,2025-09-22 02:54:00,discover,isfahan,100.5,68
success,2025-09-17 14:02:00,discover,isfahan,99999.0,89
fail,2025-09-27 11:11:00,amex,tehran,63489.0,96
fail,2025-09-10 19:29:00,mastcard,tabriz,450000.0,89
success,2025-09-28 19:40:00,discover,tehran,177050.0,49
success,2025-09-30 21:23:00,visa,tehran,343679.0,66
success,2025-09-30 09:09:00,discover,qom,555555.0,96
fail,2025-09-15 05:23:00,master_card,shiraz,471227.0,63
success,2025-09-30 01:01:00,master_card,isfahan,976246.0,25
success,2025-09-19 14:00:00,amex,karaj,343679.0,4
fail,2025-09-23 08:08:00,visa,ahvaz,200000.0,11
success,2025-09-20 02:24:00,master_card,mashhad,976246.0,17
success,2025-09-03 18:12:00,amex,tehran,774681.0,70
fail,2025-09-19 02:24:00,visa,tabriz,205000.0,69
fail,2025-09-07 02:30:00,mastcard,tabriz,1000.0,84
success,2025-09-09 14:02:00,master_card,tehran,419089.0,85
fail,2025-09-25 19:29:00,master_card,tehran,0.0,96
success,2025-09-28 14:11:00,mastcard,tabriz,0.0,20
fail,2025-09-14 13:10:00,discover,qom,100.5,27
fail,2025-09-26 12:12:00,master_card,karaj,0.0,28
fail,2025-09-21 21:21:00,master_card,isfahan,0.0,88
success,2025-09-20 11:11:00,visa,tabriz,555555.0,3
success,2025-09-15 07:07:00,discover,shiraz,205000.0,73
fail,2025-09-28 13:10:00,master_card,isfahan,419089.0,7
fail,2025-09-07 06:06:00,master_card,tabriz,914465.0,60
success,2025-09-12 23:59:00,visa,shiraz,545116.0,4
fail,2025-09-29 21:23:00,visa,tehran,976246.0,5
fail,2025-09-15 23:17:00,visa,ahvaz,0.0,15
success,2025-09-03 05:23:00,master_card,qom,585954.0,64
fail,2025-09-14 07:08:00,visa,mashhad,583952.0,99
fail,2025-09-04 05:23:00,visa,qom,100.5,7
success,2025-09-18 14:00:00,master_card,karaj,0.0,6
fail,2025-09-08 14:00:00,mastcard,mashhad,583952.0,56
fail,2025-09-30 04:04:00,master_card,tehran,99999.0,30
success,2025-09-06 08:08:00,visa,karaj,0.0,22
success,2025-09-22 02:54:00,master_card,tehran,1000.0,25
success,2025-09-02 16:40:00,mastcard,karaj,100.5,91
success,2025-09-10 02:20:00,master_card,tehran,585954.0,67
fail,2025-09-30 09:09:00,visa,tabriz,177050.0,40
fail,2025-09-08 23:17:00,discover,tabriz,99999.0,43
success,2025-09-14 17:07:00,amex,karaj,0.0,1
success,2025-09-28 02:37:00,discover,karaj,343679.0,62
fail,2025-09-08 11:11:00,amex,karaj,555555.0,18
fail,2025-09-21 03:27:00,visa,ahvaz,12345.0,48
fail,2025-09-16 07:08:00,visa,ahvaz,333333.0,9
success,2025-09-13 10:48:00,master_card,karaj,200000.0,1
fail,2025-09-18 02:24:00,mastcard,tehran,914465.0,9
success,2025-09-15 09:45:00,visa,shiraz,250000.0,23
success,2025-09-25 21:23:00,visa,shiraz,100000.0,38
fail,2025-09-28 23:59:00,visa,tehran,583952.0,63
success,2025-09-13 00:00:00,master_card,shiraz,333333.0,16
success,2025-09-09 08:08:00,discover,tabriz,0.0,94
fail,2025-09-15 11:11:00,discover,tehran,555555.0,6
fail,2025-09-13 06:06:00,visa,qom,452545.0,3
fail,2025-09-01 16:40:00,discover,tehran,100.5,14
success,2025-09-25 09:00:00,discover,tabriz,0.0,66
fail,2025-09-07 18:12:00,master_card,tehran,205000.0,97
fail,2025-09-24 08:08:00,master_card,tehran,343679.0,75
fail,2025-09-01 09:09:00,mastcard,tehran,177050.0,87
success,2025-09-08 16:40:00,mastcard,tehran,774681.0,31
success,2025-09-24 16:40:00,visa,tabriz,100.5,33
fail,2025-09-11 23:17:00,visa,shiraz,1000.0,89
fail,2025-09-19 02:37:00,master_card,isfahan,120000.0,1
fail,2025-09-17 16:40:00,visa,mashhad,850000.0,44
fail,2025-09-08 22:27:00,visa,tehran,412308.0,15
success,2025-09-03 02:37:00,master_card,isfahan,5000.0,37
success,2025-09-03 03:27:00,discover,isfahan,545116.0,27
fail,2025-09-01 02:37:00,mastcard,karaj,419089.0,48
success,2025-09-05 16:40:00,visa,tehran,100000.0,12
success,2025-09-26 09:09:00,master_card,tehran,0.0,97
fail,2025-09-09 21:21:00,amex,tabriz,419089.0,88
fail,2025-09-28 00:00:00,mastcard,qom,976246.0,66
success,2025-09-08 16:40:00,discover,tehran,0.0,32
fail,2025-09-12 19:51:00,discover,tehran,914465.0,39
success,2025-09-01 04:15:00,discover,tabriz,452545.0,43
fail,2025-09-16 12:34:00,visa,tehran,300000.0,43
fail,2025-09-24 00:00:00,visa,tehran,120000.0,32
fail,2025-09-05 07:32:00,visa,mashhad,200000.0,43
fail,2025-09-03 07:32:00,visa,tehran,0.0,81
fail,2025-09-12 02:30:00,amex,tehran,914282.0,3
fail,2025-09-27 07:32:00,amex,qom,471227.0,40
success,2025-09-03 12:12:00,discover,tehran,177050.0,18
fail,2025-09-01 09:09:00,amex,isfahan,850000.0,67
success,2025-09-03 23:59:00,master_card,tehran,914465.0,62
success,2025-09-05 02:37:00,amex,isfahan,250000.0,10
success,2025-09-15 23:59:00,visa,shiraz,250000.0,52
success,2025-09-14 02:30:00,visa,isfahan,976246.0,73
success,2025-09-03 21:10:00,mastcard,isfahan,900000.0,46
fail,2025-09-05 05:56:00,amex,karaj,250000.0,46
fail,2025-09-26 19:19:00,amex,mashhad,12345.0,75
success,2025-09-14 07:08:00,visa,shiraz,850000.0,98
success,2025-09-07 02:37:00,master_card,tehran,250000.0,26
success,2025-09-27 01:51:00,amex,tehran,300000.0,27
success,2025-09-09 12:44:00,visa,shiraz,585954.0,38
fail,2025-09-15 19:51:00,discover,isfahan,914282.0,22
fail,2025-09-28 00:00:00,visa,tehran,200000.0,35
success,2025-09-13 00:00:00,visa,tabriz,0.0,66
success,2025-09-19 21:23:00,discover,tehran,914282.0,100
success,2025-09-07 20:33:00,visa,shiraz,1000.0,73
fail,2025-09-20 20:33:00,discover,qom,419089.0,18
fail,2025-09-30 10:48:00,master_card,ahvaz,443463.0,3
fail,2025-09-05 10:05:00,visa,tabriz,120000.0,82
success,2025-09-13 23:17:00,amex,tehran,419089.0,6
success,2025-09-11 09:00:00,amex,tehran,650000.0,45
fail,2025-09-04 09:45:00,visa,tabriz,0.0,39
fail,2025-09-07 11:11:00,discover,tehran,585954.0,9
fail,2025-09-27 02:54:00,visa,isfahan,200000.0,100
